安徽频道,#genre#
卡酷少儿,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000150
金鹰卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000151
嘉佳卡通,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000448
优漫卡通,http://10.255.127.35:6060/gitv_live/G_YOUMAN/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
山东教育卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000248
北京纪实科教,http://10.255.127.35:6060/gitv_live/G_BEIJINGJS-CQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
茶频道,http://10.255.126.3:8006/AHBKLIVE/ccfffb202e2e4795b85241af37abc8de
金鹰纪实,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000569
快乐垂钓,http://10.255.126.3:8006/AHBKLIVE/4d0ec3c7a7cf41458ce3c7e241f7ed7a
四海钓鱼,http://10.255.126.3:8006/AHBKLIVE/11111120251124000000000000000001
天元围棋,http://10.255.127.35:6060/gitv_live/G_TIANYUANWQ/index.m3u8?Playtype=1&gMac=00&partnerCode=-&m3u8_level=2
环球旅游,http://10.255.126.3:8006/AHBKLIVE/11111120251124000000000000000003

安徽地方台,#genre#

滁州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000081
滁州科教,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000085
亳州农村,http://10.255.126.3:8006/AHBKLIVE/11111120210408000000000000000033
蚌埠新闻,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000077
蚌埠生活,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000079
宿州科教,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000097
宿州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000099
安庆新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000111
安庆经济生活,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000109
淮南新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000105
六安综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000125
六安社会生活,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000123
池州新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000089
黄山新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000117
黄山文旅,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000115
马鞍山新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120211018000000000000000015
马鞍山科教生活,http://10.255.126.3:8006/AHBKLIVE/11111120211027000000000000000001
芜湖新闻综合,http://10.255.126.3:8006/AHBKLIVE/11111120211018000000000000000011
芜湖生活频道,http://10.255.126.3:8006/AHBKLIVE/11111120211112000000000000000005
无为综合,http://10.255.126.3:8006/AHBKLIVE/11111120210510000000000000000093


春晚,#genre#
